match_id,date,venue,team_a,team_b,team_a_players_total,team_a_players_known,team_a_coverage,team_b_players_total,team_b_players_known,team_b_coverage,total_players,known_players,total_coverage,tier,tier_num,match_type,gender,event,has_outcome
1027315,2017-03-03,"Sir Vivian Richards Stadium, North Sound",England,West Indies,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,England in West Indies ODI Series,True
1027317,2017-03-05,"Sir Vivian Richards Stadium, North Sound",England,West Indies,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,England in West Indies ODI Series,True
1027319,2017-03-09,"Kensington Oval, Bridgetown",England,West Indies,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,England in West Indies ODI Series,True
1029001,2017-05-05,County Ground,England,Ireland,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Ireland in England ODI Series,True
1029003,2017-05-07,Lord's,England,Ireland,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Ireland in England ODI Series,True
1029819,2016-10-07,Shere Bangla National Stadium,Bangladesh,England,11,10,90.9,11,11,100.0,22,21,95.5,Tier 1 - Excellent,1,ODI,male,England in Bangladesh ODI Series,True
1029821,2016-10-09,Shere Bangla National Stadium,Bangladesh,England,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,England in Bangladesh ODI Series,True
1029823,2016-10-12,Zahur Ahmed Chowdhury Stadium,Bangladesh,England,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,England in Bangladesh ODI Series,True
1030219,2016-10-16,Himachal Pradesh Cricket Association Stadium,India,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,New Zealand in India ODI Series,True
1030221,2016-10-20,Feroz Shah Kotla,India,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,New Zealand in India ODI Series,True
1030223,2016-10-23,"Punjab Cricket Association Stadium, Mohali",India,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,New Zealand in India ODI Series,True
1030225,2016-10-26,JSCA International Stadium Complex,India,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,New Zealand in India ODI Series,True
