match_id,date,venue,team_a,team_b,team_a_players_total,team_a_players_known,team_a_coverage,team_b_players_total,team_b_players_known,team_b_coverage,total_players,known_players,total_coverage,tier,tier_num,match_type,gender,event,has_outcome
1020039,2017-03-04,Eden Park,New Zealand,South Africa,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,South Africa in New Zealand ODI Series,True
1022347,2017-06-01,Kennington Oval,Bangladesh,England,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,ICC Champions Trophy,True
1022349,2017-06-02,Edgbaston,Australia,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,ICC Champions Trophy,True
1022351,2017-06-03,Kennington Oval,South Africa,Sri Lanka,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,ICC Champions Trophy,True
1022353,2017-06-04,Edgbaston,India,Pakistan,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,ICC Champions Trophy,True
1022355,2017-06-05,Kennington Oval,Australia,Bangladesh,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,ICC Champions Trophy,True
1022357,2017-06-06,Sophia Gardens,England,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,ICC Champions Trophy,True
1022359,2017-06-07,Edgbaston,Pakistan,South Africa,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,ICC Champions Trophy,True
1022361,2017-06-08,Kennington Oval,India,Sri Lanka,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,ICC Champions Trophy,True
1022363,2017-06-09,Sophia Gardens,Bangladesh,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,ICC Champions Trophy,True
