match_id,date,venue,team,opposition,season_year,season_month,gender,match_type,toss_won,toss_decision_bat,toss_decision_field,team_team_batting_avg,team_team_strike_rate,team_team_total_runs,team_elite_batsmen,team_star_batsmen,team_power_hitters,team_team_bowling_avg,team_team_economy,team_team_total_wickets,team_elite_bowlers,team_star_bowlers,team_all_rounder_count,team_wicketkeeper_count,team_elite_players,team_star_players,team_avg_star_rating,team_team_balance,team_team_depth,team_known_players_count,opp_team_batting_avg,opp_team_strike_rate,opp_team_total_runs,opp_elite_batsmen,opp_star_batsmen,opp_power_hitters,opp_team_bowling_avg,opp_team_economy,opp_team_total_wickets,opp_elite_bowlers,opp_star_bowlers,opp_all_rounder_count,opp_wicketkeeper_count,opp_elite_players,opp_star_players,opp_avg_star_rating,opp_team_balance,opp_team_depth,opp_known_players_count,batting_advantage,star_advantage,elite_advantage,total_runs
1019973,2016-12-26,Hagley Oval,Bangladesh,New Zealand,2016,12,male,ODI,0,1,0,22.93,68.97,34236,0,1,0,50.27,5.45,782,0,2,7,1,0,2,5.09,0.456,6,11,21.53,79.24,25354,0,2,1,36.31,5.22,716,0,2,7,2,0,2,5.0,0.593,3,11,-13.38,0,0,264
1019973,2016-12-26,Hagley Oval,New Zealand,Bangladesh,2016,12,male,ODI,1,1,0,21.53,79.24,25354,0,2,1,36.31,5.22,716,0,2,7,2,0,2,5.0,0.593,3,11,22.93,68.97,34236,0,1,0,50.27,5.45,782,0,2,7,1,0,2,5.09,0.456,6,11,-28.74,0,0,341
1019975,2016-12-29,Saxton Oval,Bangladesh,New Zealand,2016,12,male,ODI,1,0,1,23.03,71.3,24949,0,1,0,57.35,5.44,614,0,2,5,0,0,2,5.12,0.402,4,8,21.53,79.24,25354,0,2,1,36.31,5.22,716,0,2,7,2,0,2,5.0,0.593,3,11,-13.28,0,0,184
1019975,2016-12-29,Saxton Oval,New Zealand,Bangladesh,2016,12,male,ODI,0,0,1,21.53,79.24,25354,0,2,1,36.31,5.22,716,0,2,7,2,0,2,5.0,0.593,3,11,23.03,71.3,24949,0,1,0,57.35,5.44,614,0,2,5,0,0,2,5.12,0.402,4,8,-35.82,0,0,251
1019977,2016-12-31,Saxton Oval,Bangladesh,New Zealand,2016,12,male,ODI,1,1,0,20.86,67.87,25098,0,1,0,52.79,5.38,766,0,2,6,0,0,2,5.0,0.395,4,9,22.14,79.35,25375,0,2,1,37.0,5.2,609,0,2,7,2,0,2,5.0,0.598,3,11,-16.14,0,0,236
1019977,2016-12-31,Saxton Oval,New Zealand,Bangladesh,2016,12,male,ODI,0,1,0,22.14,79.35,25375,0,2,1,37.0,5.2,609,0,2,7,2,0,2,5.0,0.598,3,11,20.86,67.87,25098,0,1,0,52.79,5.38,766,0,2,6,0,0,2,5.0,0.395,4,9,-30.65,0,0,239
1020013,2017-01-30,Eden Park,Australia,New Zealand,2017,1,male,ODI,1,0,1,24.09,80.42,18485,0,3,2,40.61,5.29,744,0,2,7,0,0,3,5.45,0.593,5,10,23.17,77.14,32083,0,3,0,36.31,5.07,716,1,2,7,1,0,3,5.32,0.638,4,11,-12.22,0,0,280
1020013,2017-01-30,Eden Park,New Zealand,Australia,2017,1,male,ODI,0,0,1,23.17,77.14,32083,0,3,0,36.31,5.07,716,1,2,7,1,0,3,5.32,0.638,4,11,24.09,80.42,18485,0,3,2,40.61,5.29,744,0,2,7,0,0,3,5.45,0.593,5,10,-17.44,0,0,286
1020017,2017-02-05,Seddon Park,Australia,New Zealand,2017,2,male,ODI,0,1,0,22.49,78.77,18812,0,3,2,39.37,5.31,911,0,2,8,0,0,3,5.32,0.571,5,11,21.95,76.48,25319,0,2,0,38.32,5.05,712,1,2,7,1,0,2,5.05,0.573,3,11,-15.83,1,0,257
1020017,2017-02-05,Seddon Park,New Zealand,Australia,2017,2,male,ODI,1,1,0,21.95,76.48,25319,0,2,0,38.32,5.05,712,1,2,7,1,0,2,5.05,0.573,3,11,22.49,78.77,18812,0,3,2,39.37,5.31,911,0,2,8,0,0,3,5.32,0.571,5,11,-17.42,-1,0,281
1020031,2017-02-19,Seddon Park,New Zealand,South Africa,2017,2,male,ODI,0,0,1,22.12,78.06,24900,0,2,1,35.7,5.01,703,1,3,7,1,0,2,4.95,0.62,3,11,24.88,79.49,37252,1,3,1,41.52,5.34,608,0,2,8,1,1,3,5.41,0.599,5,11,-19.4,-1,-1,207
1020031,2017-02-19,Seddon Park,South Africa,New Zealand,2017,2,male,ODI,1,0,1,24.88,79.49,37252,1,3,1,41.52,5.34,608,0,2,8,1,1,3,5.41,0.599,5,11,22.12,78.06,24900,0,2,1,35.7,5.01,703,1,3,7,1,0,2,4.95,0.62,3,11,-10.82,1,1,210
1020033,2017-02-22,Hagley Oval,New Zealand,South Africa,2017,2,male,ODI,0,0,1,22.12,78.06,24900,0,2,1,35.7,5.01,703,1,3,7,1,0,2,4.95,0.62,3,11,27.13,81.89,40986,1,3,0,39.24,5.32,502,0,2,7,1,1,3,5.5,0.691,6,11,-17.12,-1,-1,289
1020033,2017-02-22,Hagley Oval,South Africa,New Zealand,2017,2,male,ODI,1,0,1,27.13,81.89,40986,1,3,0,39.24,5.32,502,0,2,7,1,1,3,5.5,0.691,6,11,22.12,78.06,24900,0,2,1,35.7,5.01,703,1,3,7,1,0,2,4.95,0.62,3,11,-8.57,1,1,283
1020035,2017-02-25,Westpac Stadium,New Zealand,South Africa,2017,2,male,ODI,0,1,0,21.7,77.25,24812,0,2,1,34.7,5.0,734,1,3,7,1,0,2,4.95,0.625,3,11,26.37,80.52,40904,1,3,0,37.8,5.24,618,0,3,7,1,1,3,5.5,0.698,6,11,-16.1,-1,-1,112
1020035,2017-02-25,Westpac Stadium,South Africa,New Zealand,2017,2,male,ODI,1,1,0,26.37,80.52,40904,1,3,0,37.8,5.24,618,0,3,7,1,1,3,5.5,0.698,6,11,21.7,77.25,24812,0,2,1,34.7,5.0,734,1,3,7,1,0,2,4.95,0.625,3,11,-8.33,1,1,271
1020037,2017-03-01,Seddon Park,New Zealand,South Africa,2017,3,male,ODI,0,1,0,22.34,81.89,28365,0,3,2,33.74,4.98,687,1,4,7,1,0,3,5.14,0.662,3,11,26.5,81.66,40544,1,3,0,38.5,5.23,574,0,3,7,1,1,3,5.5,0.688,6,11,-16.16,0,-1,280
1020037,2017-03-01,Seddon Park,South Africa,New Zealand,2017,3,male,ODI,1,1,0,26.5,81.66,40544,1,3,0,38.5,5.23,574,0,3,7,1,1,3,5.5,0.688,6,11,22.34,81.89,28365,0,3,2,33.74,4.98,687,1,4,7,1,0,3,5.14,0.662,3,11,-7.24,0,1,279
1020039,2017-03-04,Eden Park,New Zealand,South Africa,2017,3,male,ODI,0,0,1,22.34,81.89,28365,0,3,2,33.74,4.98,687,1,4,7,1,0,3,5.14,0.662,3,11,26.7,81.6,40797,1,3,0,38.81,5.24,564,0,3,7,1,1,3,5.5,0.688,6,11,-16.47,0,-1,149
1020039,2017-03-04,Eden Park,South Africa,New Zealand,2017,3,male,ODI,1,0,1,26.7,81.6,40797,1,3,0,38.81,5.24,564,0,3,7,1,1,3,5.5,0.688,6,11,22.34,81.89,28365,0,3,2,33.74,4.98,687,1,4,7,1,0,3,5.14,0.662,3,11,-7.04,0,1,150
1022347,2017-06-01,Kennington Oval,Bangladesh,England,2017,6,male,ODI,0,0,1,22.61,68.81,34141,0,1,0,50.38,5.48,819,0,2,7,1,0,2,5.09,0.449,6,11,25.41,81.02,32905,0,4,2,42.1,5.55,593,0,0,7,1,0,2,5.18,0.604,6,11,-19.49,0,0,305
1022347,2017-06-01,Kennington Oval,England,Bangladesh,2017,6,male,ODI,1,0,1,25.41,81.02,32905,0,4,2,42.1,5.55,593,0,0,7,1,0,2,5.18,0.604,6,11,22.61,68.81,34141,0,1,0,50.38,5.48,819,0,2,7,1,0,2,5.09,0.449,6,11,-24.97,0,0,308
1022349,2017-06-02,Edgbaston,Australia,New Zealand,2017,6,male,ODI,0,1,0,23.1,81.99,27069,0,4,3,39.98,5.43,680,0,3,8,1,0,4,5.36,0.578,5,11,22.86,82.66,29372,0,3,1,31.47,5.15,731,1,2,7,1,0,3,5.23,0.726,4,11,-8.37,1,0,53
1022349,2017-06-02,Edgbaston,New Zealand,Australia,2017,6,male,ODI,1,1,0,22.86,82.66,29372,0,3,1,31.47,5.15,731,1,2,7,1,0,3,5.23,0.726,4,11,23.1,81.99,27069,0,4,3,39.98,5.43,680,0,3,8,1,0,4,5.36,0.578,5,11,-17.12,-1,0,291
1022351,2017-06-03,Kennington Oval,South Africa,Sri Lanka,2017,6,male,ODI,0,0,1,25.73,80.11,40620,1,3,0,38.12,5.19,726,0,3,7,1,1,3,5.5,0.675,6,11,19.59,67.98,21931,0,0,0,49.47,5.84,537,0,2,5,4,0,0,4.82,0.396,5,11,-23.74,3,1,299
1022351,2017-06-03,Kennington Oval,Sri Lanka,South Africa,2017,6,male,ODI,1,0,1,19.59,67.98,21931,0,0,0,49.47,5.84,537,0,2,5,4,0,0,4.82,0.396,5,11,25.73,80.11,40620,1,3,0,38.12,5.19,726,0,3,7,1,1,3,5.5,0.675,6,11,-18.53,-3,-1,203
1022353,2017-06-04,Edgbaston,India,Pakistan,2017,6,male,ODI,0,0,1,27.15,77.89,54837,1,3,2,48.04,5.14,778,1,3,9,1,0,5,5.82,0.565,7,11,25.3,79.64,27757,1,0,2,63.78,5.51,634,1,3,7,1,1,2,5.68,0.397,6,11,-36.63,3,-1,319
1022353,2017-06-04,Edgbaston,Pakistan,India,2017,6,male,ODI,1,0,1,25.3,79.64,27757,1,0,2,63.78,5.51,634,1,3,7,1,1,2,5.68,0.397,6,11,27.15,77.89,54837,1,3,2,48.04,5.14,778,1,3,9,1,0,5,5.82,0.565,7,11,-22.74,-3,1,164
1022355,2017-06-05,Kennington Oval,Australia,Bangladesh,2017,6,male,ODI,0,1,0,22.32,78.56,27125,0,4,2,40.06,5.49,805,0,2,8,1,0,4,5.32,0.557,5,11,22.78,68.02,34805,0,1,0,44.14,5.44,902,0,3,7,1,0,2,5.09,0.516,6,11,-21.82,2,0,83
1022355,2017-06-05,Kennington Oval,Bangladesh,Australia,2017,6,male,ODI,1,1,0,22.78,68.02,34805,0,1,0,44.14,5.44,902,0,3,7,1,0,2,5.09,0.516,6,11,22.32,78.56,27125,0,4,2,40.06,5.49,805,0,2,8,1,0,4,5.32,0.557,5,11,-17.28,-2,0,182
1022357,2017-06-06,Sophia Gardens,England,New Zealand,2017,6,male,ODI,0,0,1,24.95,81.76,32270,0,4,2,43.17,5.58,597,0,0,7,1,0,2,5.18,0.578,6,11,22.86,82.66,29372,0,3,1,31.47,5.15,731,1,2,7,1,0,3,5.23,0.726,4,11,-6.52,-1,0,310
