venue_id,venue_name,stadium,city
199,"Queens Sports Club, Bulawayo",Queens Sports Club,Bulawayo
200,Queenstown Events Centre,Queenstown Events Centre,
201,R Premadasa Stadium,R Premadasa Stadium,
202,"R Premadasa Stadium, Colombo",R Premadasa Stadium,Colombo
203,R.Premadasa Stadium,R.Premadasa Stadium,
204,"R.Premadasa Stadium, Khettarama",R.Premadasa Stadium,Khettarama
205,"Rajiv Gandhi International Stadium, Uppal",Rajiv Gandhi International Stadium,Uppal
206,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajiv Gandhi International Stadium,Uppal
207,Rangiri Dambulla International Stadium,Rangiri Dambulla International Stadium,
208,Rawalpindi Cricket Stadium,Rawalpindi Cricket Stadium,
209,Reliance Stadium,Reliance Stadium,
210,Riverside Ground,Riverside Ground,
211,"Riverside Ground, Chester-le-Street",Riverside Ground,Chester-le-Street
212,"Riverway Stadium, Townsville",Riverway Stadium,Townsville
213,"Sabina Park, Kingston",Sabina Park,Kingston
214,"Sabina Park, Kingston, Jamaica",Sabina Park,Kingston
215,"Sardar Patel (Gujarat) Stadium, Motera",Sardar Patel (Gujarat) Stadium,Motera
216,"Sardar Patel Stadium, Motera",Sardar Patel Stadium,Motera
217,Saurashtra Cricket Association Stadium,Saurashtra Cricket Association Stadium,
218,"Saurashtra Cricket Association Stadium, Rajkot",Saurashtra Cricket Association Stadium,Rajkot
219,Sawai Mansingh Stadium,Sawai Mansingh Stadium,
220,Saxton Oval,Saxton Oval,
221,"Saxton Oval, Nelson",Saxton Oval,Nelson
222,Sector 16 Stadium,Sector 16 Stadium,
223,Seddon Park,Seddon Park,
224,"Seddon Park, Hamilton",Seddon Park,Hamilton
225,Sedgars Park,Sedgars Park,
226,"Sedgars Park, Potchefstroom",Sedgars Park,Potchefstroom
227,Senwes Park,Senwes Park,
228,"Senwes Park, Potchefstroom",Senwes Park,Potchefstroom
229,Shaheed Chandu Stadium,Shaheed Chandu Stadium,
230,"Shaheed Veer Narayan Singh International Stadium, Raipur",Shaheed Veer Narayan Singh International Stadium,Raipur
231,Sharjah Cricket Association Stadium,Sharjah Cricket Association Stadium,
232,Sharjah Cricket Stadium,Sharjah Cricket Stadium,
233,Sheikh Abu Naser Stadium,Sheikh Abu Naser Stadium,
234,Sheikh Zayed Stadium,Sheikh Zayed Stadium,
235,Sheikhupura Stadium,Sheikhupura Stadium,
236,Sher-e-Bangla National Cricket Stadium,Sher-e-Bangla National Cricket Stadium,
237,Shere Bangla National Stadium,Shere Bangla National Stadium,
238,"Shere Bangla National Stadium, Mirpur",Shere Bangla National Stadium,Mirpur
239,Sinhalese Sports Club,Sinhalese Sports Club,
240,Sinhalese Sports Club Ground,Sinhalese Sports Club Ground,
241,Sir Vivian Richards Stadium,Sir Vivian Richards Stadium,
242,"Sir Vivian Richards Stadium, North Sound",Sir Vivian Richards Stadium,North Sound
243,"Sir Vivian Richards Stadium, North Sound, Antigua",Sir Vivian Richards Stadium,North Sound
244,Sophia Gardens,Sophia Gardens,
245,"Sophia Gardens, Cardiff",Sophia Gardens,Cardiff
246,Sportpark Het Schootsveld,Sportpark Het Schootsveld,
247,"Sportpark Maarschalkerweerd, Utrecht",Sportpark Maarschalkerweerd,Utrecht
248,"Sportpark Westvliet, The Hague",Sportpark Westvliet,The Hague
249,St George's Park,St George's Park,
250,"St George's Park, Port Elizabeth",St George's Park,Port Elizabeth
251,St Lawrence Ground,St Lawrence Ground,
252,"St Lawrence Ground, Canterbury",St Lawrence Ground,Canterbury
253,SuperSport Park,SuperSport Park,
254,"SuperSport Park, Centurion",SuperSport Park,Centurion
255,Sydney Cricket Ground,Sydney Cricket Ground,
256,Sylhet International Cricket Stadium,Sylhet International Cricket Stadium,
257,"Takashinga Sports Club, Highfield, Harare",Takashinga Sports Club,Highfield
258,The Cooper Associates County Ground,The Cooper Associates County Ground,
259,The Rose Bowl,The Rose Bowl,
260,"The Rose Bowl, Southampton",The Rose Bowl,Southampton
261,"The Royal & Sun Alliance County Ground, Bristol",The Royal & Sun Alliance County Ground,Bristol
262,"The Village, Malahide",The Village,Malahide
263,"The Village, Malahide, Dublin",The Village,Malahide
264,The Wanderers Stadium,The Wanderers Stadium,
265,"The Wanderers Stadium, Johannesburg",The Wanderers Stadium,Johannesburg
266,Titwood,Titwood,
267,"Titwood, Glasgow",Titwood,Glasgow
268,"Tony Ireland Stadium, Townsville",Tony Ireland Stadium,Townsville
269,"Toronto Cricket, Skating and Curling Club",Toronto Cricket,Skating and Curling Club
270,Trent Bridge,Trent Bridge,
271,"Trent Bridge, Nottingham",Trent Bridge,Nottingham
272,Tribhuvan University International Cricket Ground,Tribhuvan University International Cricket Ground,
273,"Tribhuvan University International Cricket Ground, Kirtipur",Tribhuvan University International Cricket Ground,Kirtipur
274,United Cricket Club Ground,United Cricket Club Ground,
275,"United Cricket Club Ground, Windhoek",United Cricket Club Ground,Windhoek
276,University Oval,University Oval,
277,"University Oval, Dunedin",University Oval,Dunedin
278,VRA Cricket Ground,VRA Cricket Ground,
279,VRA Ground,VRA Ground,
280,"VRA Ground, Amstelveen",VRA Ground,Amstelveen
281,Vidarbha C.A. Ground,Vidarbha C.A. Ground,
282,Vidarbha Cricket Association Ground,Vidarbha Cricket Association Ground,
283,"Vidarbha Cricket Association Stadium, Jamtha",Vidarbha Cricket Association Stadium,Jamtha
284,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Vidarbha Cricket Association Stadium,Jamtha
285,W.A.C.A. Ground,W.A.C.A. Ground,
286,Wanderers Cricket Ground,Wanderers Cricket Ground,
287,"Wanderers Cricket Ground, Windhoek",Wanderers Cricket Ground,Windhoek
288,Wankhede Stadium,Wankhede Stadium,
289,"Wankhede Stadium, Mumbai",Wankhede Stadium,Mumbai
290,"Warner Park, Basseterre",Warner Park,Basseterre
291,"Warner Park, Basseterre, St Kitts",Warner Park,Basseterre
292,Western Australia Cricket Association Ground,Western Australia Cricket Association Ground,
293,"Westpac Park, Hamilton",Westpac Park,Hamilton
294,Westpac Stadium,Westpac Stadium,
295,"Westpac Stadium, Wellington",Westpac Stadium,Wellington
296,Willowmoore Park,Willowmoore Park,
297,"Willowmoore Park, Benoni",Willowmoore Park,Benoni
298,"Windsor Park, Roseau",Windsor Park,Roseau
299,Zahur Ahmed Chowdhury Stadium,Zahur Ahmed Chowdhury Stadium,
300,"Zahur Ahmed Chowdhury Stadium, Chattogram",Zahur Ahmed Chowdhury Stadium,Chattogram
301,"Zayed Cricket Stadium, Abu Dhabi",Zayed Cricket Stadium,Abu Dhabi
302,Zohur Ahmed Chowdhury Stadium,Zohur Ahmed Chowdhury Stadium,
