match_id,team,innings_number,total_runs,total_wickets,balls_bowled,overs_bowled,run_rate,extras,boundaries_4s,boundaries_6s,boundaries_total,venue,city,date,opposition,match_outcome,player_of_match,teams,team_batting_avg,team_strike_rate,team_centuries,team_fifties,team_boundaries_4s,team_boundaries_6s,team_players_count,team_bowling_avg,team_economy,team_wickets,team_maidens,team_batsmen,team_bowlers,team_allrounders,team_wicketkeepers,venue_avg_runs,venue_runs_std,venue_matches,venue_min_runs,venue_max_runs,venue_avg_rr,venue_rr_std,venue_avg_boundaries,venue_total_boundaries,venue_high_scoring,opp_avg_runs,opp_runs_std,opp_matches,opp_avg_rr,opp_rr_std,opp_avg_boundaries,opp_total_boundaries,team_balance,venue_advantage
1116060,Netherlands,1,184,0,129,21.5,8.55813953488372,11,15,5,20,New Williamfield No1 Oval,Stirling,2017-08-19,United States of America,Netherlands,['SL Kalis'],"['Netherlands', 'United States of America']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,132.83,28.87,6,111,184,6.34,1.3,12.0,72,0,184.0,34.52847250509165,1,8.56,1.5081568228105906,20.0,20,0.6,-15.241949238578655
1116060,United States of America,2,148,0,132,22.0,6.7272727272727275,15,12,2,14,New Williamfield No1 Oval,Stirling,2017-08-19,Netherlands,Netherlands,['SL Kalis'],"['Netherlands', 'United States of America']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,132.83,28.87,6,111,184,6.34,1.3,12.0,72,0,141.5,26.72,6,6.8,1.28,13.17,79,0.6,-15.241949238578655
1116061,Netherlands,1,129,0,127,21.166666666666668,6.094488188976378,7,12,0,12,New Williamfield No1 Oval,Stirling,2017-08-18,Scotland,Netherlands,['HDJ Siegers'],"['Netherlands', 'Scotland']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,132.83,28.87,6,111,184,6.34,1.3,12.0,72,0,157.62,35.67,8,7.57,1.75,17.5,140,0.6,-15.241949238578655
1116061,Scotland,2,111,0,140,23.333333333333332,4.757142857142857,23,5,0,5,New Williamfield No1 Oval,Stirling,2017-08-18,Netherlands,Netherlands,['HDJ Siegers'],"['Netherlands', 'Scotland']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,132.83,28.87,6,111,184,6.34,1.3,12.0,72,0,141.5,26.72,6,6.8,1.28,13.17,79,0.6,-15.241949238578655
1117821,Pakistan,1,197,0,122,20.333333333333332,9.688524590163935,7,19,6,25,Gaddafi Stadium,Lahore,2017-09-12,ICC World XI,Pakistan,['Babar Azam'],"['Pakistan', 'ICC World XI']",19.312800000000003,132.695,3.0,76.0,1107.0,381.0,61,47.42523809523809,5.762608695652175,0.0,73.0,19,22,12,5,161.8,30.51,10,90,197,7.96,1.25,19.3,193,1,184.67,11.59,3,8.93,0.8,22.33,67,0.4634146341463415,13.728050761421343
1117821,ICC World XI,2,177,0,124,20.666666666666668,8.564516129032258,10,19,7,26,Gaddafi Stadium,Lahore,2017-09-12,Pakistan,Pakistan,['Babar Azam'],"['Pakistan', 'ICC World XI']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,161.8,30.51,10,90,197,7.96,1.25,19.3,193,1,130.61,25.62,23,6.77,1.21,14.52,334,0.6,13.728050761421343
1117822,Pakistan,1,174,0,129,21.5,8.093023255813954,10,17,4,21,Gaddafi Stadium,Lahore,2017-09-13,ICC World XI,ICC World XI,['NLTC Perera'],"['Pakistan', 'ICC World XI']",19.312800000000003,132.695,3.0,76.0,1107.0,381.0,61,47.42523809523809,5.762608695652175,0.0,73.0,19,22,12,5,161.8,30.51,10,90,197,7.96,1.25,19.3,193,1,184.67,11.59,3,8.93,0.8,22.33,67,0.4634146341463415,13.728050761421343
1117822,ICC World XI,2,175,0,121,20.166666666666668,8.677685950413222,3,8,10,18,Gaddafi Stadium,Lahore,2017-09-13,Pakistan,ICC World XI,['NLTC Perera'],"['Pakistan', 'ICC World XI']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,161.8,30.51,10,90,197,7.96,1.25,19.3,193,1,130.61,25.62,23,6.77,1.21,14.52,334,0.6,13.728050761421343
1117824,Pakistan,1,183,0,122,20.333333333333332,9.0,2,15,6,21,Gaddafi Stadium,Lahore,2017-09-15,ICC World XI,Pakistan,['Ahmed Shehzad'],"['Pakistan', 'ICC World XI']",19.312800000000003,132.695,3.0,76.0,1107.0,381.0,61,47.42523809523809,5.762608695652175,0.0,73.0,19,22,12,5,161.8,30.51,10,90,197,7.96,1.25,19.3,193,1,184.67,11.59,3,8.93,0.8,22.33,67,0.4634146341463415,13.728050761421343
1117824,ICC World XI,2,150,0,123,20.5,7.317073170731708,5,15,5,20,Gaddafi Stadium,Lahore,2017-09-15,Pakistan,Pakistan,['Ahmed Shehzad'],"['Pakistan', 'ICC World XI']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,161.8,30.51,10,90,197,7.96,1.25,19.3,193,1,130.61,25.62,23,6.77,1.21,14.52,334,0.6,13.728050761421343
