team_batting_avg,team_strike_rate,team_bowling_avg,team_economy,team_size,venue_avg_runs,venue_runs_std,venue_matches,team_balance,venue_advantage,opposition_strength,total_wickets,balls_bowled,overs_bowled,run_rate,extras,boundaries_4s,boundaries_6s,boundaries_total,total_runs
34.254999999999995,125.0825,28.03333333333333,5.16,11,117.0,40.8,4,1.221938168846611,1.4102564102564104,21.919999999999998,0,121,20.166666666666668,8.181818181818182,20,9,6,15,165
23.15,116.405,34.845,5.645,11,117.0,40.8,4,0.6643707849045773,0.5641025641025641,17.17361111111111,0,36,6.0,11.0,3,6,3,9,66
34.254999999999995,125.0825,28.03333333333333,5.16,11,127.67,27.37,6,1.221938168846611,1.1905694368293256,19.581,0,128,21.33333333333333,7.125,14,8,4,12,152
13.0,124.035,39.25,6.305,11,127.67,27.37,6,0.33121019108280253,1.1984021304926764,17.17361111111111,0,112,18.666666666666668,8.196428571428571,7,10,7,17,153
13.0,162.5,41.33,6.52,11,148.5,24.66,6,0.3145414952818776,1.0303030303030303,19.383333333333333,0,124,20.666666666666668,7.403225806451612,5,18,1,19,153
25.0,120.0,30.0,7.0,11,148.5,24.66,6,0.8333333333333334,1.037037037037037,19.77775,0,117,19.5,7.897435897435898,6,21,1,22,154
25.37333333333333,119.40666666666668,38.89666666666667,6.0,11,141.88,64.08,8,0.6523266775216384,0.8105441217930646,22.30721212121212,0,63,10.5,10.952380952380953,10,8,8,16,115
21.98,115.95,33.3,6.0,11,141.88,64.08,8,0.6600600600600601,0.04933746828305611,21.919999999999998,0,6,1.0,7.0,1,1,0,1,7
21.98,115.95,33.3,6.0,11,167.5,10.5,4,0.6600600600600601,1.0029850746268656,19.77775,0,128,21.33333333333333,7.875,12,13,5,18,168
23.81,153.345,41.33,6.52,11,167.5,10.5,4,0.5760948463585773,0.9432835820895522,22.30721212121212,0,124,20.666666666666668,7.64516129032258,14,15,3,18,158
30.566666666666663,128.00666666666666,19.5,4.265000000000001,11,170.0,18.43,6,1.5675213675213673,1.0294117647058822,19.383333333333333,0,126,21.0,8.333333333333334,9,8,8,16,175
25.0,120.0,30.0,7.0,11,170.0,18.43,6,0.8333333333333334,0.9941176470588236,17.17361111111111,0,123,20.5,8.24390243902439,9,18,5,23,169
13.0,162.5,41.33,6.52,11,127.67,27.37,6,0.3145414952818776,0.7284405106916269,19.581,0,119,19.83333333333333,4.689075630252101,3,11,0,11,93
13.0,124.035,39.25,6.305,11,127.67,27.37,6,0.33121019108280253,0.7362732043549777,19.77775,0,72,12.0,7.833333333333333,11,11,2,13,94
13.865,100.06,26.52,6.14,11,136.9,44.94,10,0.5228129713423831,1.241782322863404,19.383333333333333,0,125,20.83333333333333,8.16,10,16,3,19,170
25.0,120.0,30.0,7.0,11,136.9,44.94,10,0.8333333333333334,1.2490869247626004,22.30721212121212,0,120,20.0,8.55,10,16,4,20,171
24.3925,135.82,28.2625,5.050000000000001,11,167.5,10.5,4,0.8630694383016364,1.0865671641791044,19.77775,0,123,20.5,8.878048780487806,3,11,10,21,182
13.0,162.5,41.33,6.52,11,167.5,10.5,4,0.3145414952818776,0.9671641791044776,17.17361111111111,0,123,20.5,7.902439024390244,7,15,6,21,162
17.047500000000003,96.3375,34.193333333333335,5.8825,11,141.88,64.08,8,0.49856209787482947,1.0360868339441782,19.581,0,119,19.83333333333333,7.411764705882353,6,14,4,18,147
13.0,124.035,39.25,6.305,11,141.88,64.08,8,0.33121019108280253,1.0431350436989004,22.30721212121212,0,120,20.0,7.4,7,11,6,17,148
24.3925,135.82,28.2625,5.050000000000001,11,136.9,44.94,10,0.8630694383016364,1.1468224981738495,19.581,0,122,20.33333333333333,7.721311475409837,11,8,7,15,157
13.0,124.035,39.25,6.305,11,136.9,44.94,10,0.33121019108280253,1.110299488677867,17.17361111111111,0,122,20.33333333333333,7.475409836065574,3,13,6,19,152
13.8,107.81,37.03,4.79,11,136.9,44.94,10,0.37267080745341613,1.3002191380569759,21.919999999999998,0,126,21.0,8.476190476190476,10,13,7,20,178
23.15,116.405,34.845,5.645,11,136.9,44.94,10,0.6643707849045773,1.3221329437545652,19.383333333333333,0,116,19.33333333333333,9.362068965517242,11,18,7,25,181
13.0,162.5,30.0,7.0,11,149.0,4.24,2,0.43333333333333335,0.9798657718120806,21.919999999999998,0,125,20.83333333333333,7.008,13,13,4,17,146
23.15,116.405,34.845,5.645,11,149.0,4.24,2,0.6643707849045773,1.0201342281879195,19.77775,0,89,14.833333333333334,10.247191011235955,8,16,7,23,152
13.8,107.81,37.03,4.79,11,146.75,80.58,4,0.37267080745341613,1.4718909710391823,19.581,0,124,20.666666666666668,10.451612903225806,8,23,8,31,216
13.0,124.035,39.25,6.305,11,146.75,80.58,4,0.33121019108280253,1.4787052810902896,19.383333333333333,0,118,19.666666666666668,11.033898305084746,10,15,14,29,217
17.0475,96.3375,34.19333333333333,5.8825,11,141.88,64.08,8,0.49856209787482947,1.6210882435861291,17.17361111111111,0,123,20.5,11.21951219512195,13,15,13,28,230
24.048,131.872,28.2625,4.752000000000001,11,141.88,64.08,8,0.8508801415302963,1.2968705948689034,22.30721212121212,0,122,20.33333333333333,9.049180327868854,2,11,10,21,184
24.290000000000003,129.21,29.43,4.921666666666667,11,117.0,40.8,4,0.8253482840638805,1.0683760683760684,19.77775,0,124,20.666666666666668,6.048387096774193,9,10,1,11,125
25.0,120.0,30.0,7.0,11,117.0,40.8,4,0.8333333333333334,0.9572649572649573,17.17361111111111,0,113,18.83333333333333,5.946902654867257,14,7,3,10,112
17.047500000000003,96.3375,34.193333333333335,5.8825,11,146.75,80.58,4,0.49856209787482947,0.545144804088586,19.581,0,32,5.333333333333333,15.0,2,6,6,12,80
11.5,116.02333333333333,37.68333333333333,6.02,11,146.75,80.58,4,0.3051747014595312,0.504258943781942,22.30721212121212,0,32,5.333333333333333,13.875,2,7,5,12,74
13.8,107.81,37.03,4.79,11,136.9,44.94,10,0.37267080745341613,0.4309715120525931,19.77775,0,50,8.333333333333334,7.079999999999999,5,0,4,4,59
34.62,144.19,30.0,7.0,11,136.9,44.94,10,1.154,0.4967129291453616,19.383333333333333,0,38,6.333333333333333,10.736842105263158,9,5,4,9,68
24.290000000000003,129.21,29.43,4.921666666666667,11,127.67,27.37,6,0.8253482840638805,1.0652463382157125,19.581,0,125,20.83333333333333,6.5280000000000005,9,12,1,13,136
11.5,116.02333333333333,37.68333333333333,6.02,11,127.67,27.37,6,0.3051747014595312,1.080911725542414,17.17361111111111,0,113,18.83333333333333,7.327433628318585,8,14,2,16,138
17.0475,96.3375,34.19333333333333,5.8825,11,141.88,64.08,8,0.49856209787482947,1.0924725119819567,19.581,0,129,21.5,7.209302325581396,16,9,3,12,155
11.5,116.02333333333333,37.68333333333333,6.02,11,141.88,64.08,8,0.3051747014595312,1.0501832534536228,22.30721212121212,0,128,21.33333333333333,6.984375,15,11,4,15,149
17.58,130.24,83.83500000000001,5.18,11,149.0,28.28,2,0.2096976203256396,1.1342281879194631,17.58,0,128,21.33333333333333,7.921875,10,13,5,18,169
14.798000000000002,102.648,30.7225,5.3275,11,149.0,28.28,2,0.4816665310440232,0.8657718120805369,14.798000000000002,0,121,20.166666666666668,6.396694214876033,13,12,2,14,129
13.547999999999998,97.402,40.2875,5.2250000000000005,11,135.5,30.47,6,0.33628296618057707,1.2546125461254614,19.297753086419753,0,124,20.666666666666668,8.225806451612902,9,11,10,21,170
14.311666666666667,88.48000000000002,25.8675,4.4725,11,135.5,30.47,6,0.5532682581102414,1.2398523985239853,12.497222222222222,0,129,21.5,7.813953488372093,13,13,6,19,168
