innings_number,overs_bowled,run_rate,extras,boundaries_total,is_first_innings,is_high_scoring_venue,team_batting_avg,team_strike_rate,team_centuries,team_fifties,team_bowling_avg,team_economy,team_wickets,team_maidens,team_batsmen,team_bowlers,team_allrounders,team_wicketkeepers,venue_avg_runs,venue_avg_rr,venue_avg_boundaries,opp_avg_runs,opp_avg_rr,opp_avg_boundaries,team_encoded,opposition_encoded,venue_encoded,city_encoded,match_outcome_encoded,team_balance,venue_advantage,total_runs
2,20.33333333333333,9.049180327868854,2,21,0,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,137.62,8.29,16.31,139.74,7.92,15.84,30,58,74,15,55,0.6,-10.451949238578663,184
1,20.666666666666668,6.048387096774193,9,11,1,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,128.88,7.89,13.0,142.22,7.84,17.06,30,26,63,55,24,0.6,-19.191949238578676,125
2,18.83333333333333,5.946902654867257,14,10,0,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,128.88,7.89,13.0,150.67,8.17,16.73,26,30,63,55,24,0.6,-19.191949238578676,112
1,5.333333333333333,15.0,2,12,1,1,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,148.5,10.22,18.62,145.15,8.19,15.1,58,63,13,26,55,0.6,0.428050761421332,80
2,5.333333333333333,13.875,2,12,0,1,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,148.5,10.22,18.62,139.74,7.92,15.84,63,58,13,26,55,0.6,0.428050761421332,74
1,8.333333333333334,7.079999999999999,5,4,1,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,128.29,7.47,14.43,142.22,7.84,17.06,6,26,37,25,24,0.6,-19.78194923857868,59
2,6.333333333333333,10.736842105263158,9,9,0,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,128.29,7.47,14.43,147.87,8.46,17.07,26,6,37,25,24,0.6,-19.78194923857868,68
1,20.83333333333333,6.5280000000000005,9,13,1,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,137.75,7.15,15.25,145.15,8.19,15.1,30,63,71,54,60,0.6,-10.321949238578668,136
2,18.83333333333333,7.327433628318585,8,16,0,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,137.75,7.15,15.25,150.67,8.17,16.73,63,30,71,54,60,0.6,-10.321949238578668,138
1,21.5,7.209302325581396,16,12,1,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,137.62,8.29,16.31,145.15,8.19,15.1,58,63,74,15,55,0.6,-10.451949238578663,155
2,21.33333333333333,6.984375,15,15,0,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,137.62,8.29,16.31,139.74,7.92,15.84,63,58,74,15,55,0.6,-10.451949238578663,149
1,21.33333333333333,7.921875,10,18,1,1,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,149.0,7.16,16.0,141.0,7.22,16.25,15,18,11,43,13,0.6,0.928050761421332,169
2,20.166666666666668,6.396694214876033,13,14,0,1,14.37833333333333,113.01333333333334,1.0,43.0,35.84,5.517857142857143,0.0,140.0,3,11,16,4,149.0,7.16,16.0,92.0,5.25,8.78,18,15,11,43,13,0.2142857142857142,0.928050761421332,129
1,20.666666666666668,8.225806451612902,9,21,1,0,16.287200000000002,102.61115384615384,0.0,40.0,43.15235294117647,5.693333333333333,0.0,190.0,12,10,8,5,135.5,6.93,15.33,147.7,7.64,17.7,68,17,29,67,65,0.5454545454545454,-12.571949238578668,170
2,21.5,7.813953488372093,13,19,0,0,23.668000000000003,131.1275,12.0,134.0,43.14681818181818,5.676923076923076,0.0,371.0,17,28,15,7,135.5,6.93,15.33,110.86,5.54,10.71,17,68,29,67,65,0.3777777777777777,-12.571949238578668,168
1,20.83333333333333,4.752000000000001,9,10,1,0,16.287200000000002,102.61115384615384,0.0,40.0,43.15235294117647,5.693333333333333,0.0,190.0,12,10,8,5,135.5,6.93,15.33,147.7,7.64,17.7,68,17,29,67,15,0.5454545454545454,-12.571949238578668,99
2,13.666666666666666,7.536585365853659,4,11,0,0,23.668000000000003,131.1275,12.0,134.0,43.14681818181818,5.676923076923076,0.0,371.0,17,28,15,7,135.5,6.93,15.33,110.86,5.54,10.71,17,68,29,67,15,0.3777777777777777,-12.571949238578668,103
1,20.5,6.7317073170731705,4,15,1,0,23.668000000000003,131.1275,12.0,134.0,43.14681818181818,5.676923076923076,0.0,371.0,17,28,15,7,135.5,6.93,15.33,110.86,5.54,10.71,17,68,29,67,15,0.3777777777777777,-12.571949238578668,138
2,20.666666666666668,6.532258064516129,12,16,0,0,16.287200000000002,102.61115384615384,0.0,40.0,43.15235294117647,5.693333333333333,0.0,190.0,12,10,8,5,135.5,6.93,15.33,147.7,7.64,17.7,68,17,29,67,15,0.5454545454545454,-12.571949238578668,135
1,22.33333333333333,6.313432835820896,18,12,1,0,16.650000000000002,104.64400000000002,1.0,58.0,37.27588235294118,5.3445,0.0,210.0,14,15,12,9,142.0,7.06,13.5,140.14,7.41,16.66,1,37,43,49,35,0.4827586206896552,-6.071949238578668,141
2,18.33333333333333,7.800000000000001,3,15,0,0,19.43103448275862,120.06310344827588,5.0,79.0,31.645789473684204,5.441000000000001,0.0,284.0,11,23,11,8,142.0,7.06,13.5,177.14,8.93,21.0,37,1,43,49,35,0.3235294117647059,-6.071949238578668,143
1,20.666666666666668,9.435483870967742,8,23,1,1,19.43103448275862,120.06310344827588,5.0,79.0,31.645789473684204,5.441000000000001,0.0,284.0,11,23,11,8,168.56,9.0,20.56,177.14,8.93,21.0,37,1,8,45,35,0.3235294117647059,20.48805076142133,195
2,19.5,7.589743589743589,15,14,0,1,16.650000000000002,104.64400000000002,1.0,58.0,37.27588235294118,5.3445,0.0,210.0,14,15,12,9,168.56,9.0,20.56,140.14,7.41,16.66,1,37,8,45,35,0.4827586206896552,20.48805076142133,148
1,20.33333333333333,9.540983606557376,16,23,1,1,19.43103448275862,120.06310344827588,5.0,79.0,31.645789473684204,5.441000000000001,0.0,284.0,11,23,11,8,168.56,9.0,20.56,177.14,8.93,21.0,37,1,8,45,35,0.3235294117647059,20.48805076142133,194
2,20.5,8.146341463414634,4,22,0,1,16.650000000000002,104.64400000000002,1.0,58.0,37.27588235294118,5.3445,0.0,210.0,14,15,12,9,168.56,9.0,20.56,140.14,7.41,16.66,1,37,8,45,35,0.4827586206896552,20.48805076142133,167
1,20.33333333333333,9.098360655737704,11,25,1,1,19.860434782608696,112.12375000000002,4.0,57.0,38.2515,5.597727272727273,0.0,138.0,17,19,11,7,175.62,8.99,22.0,140.14,7.41,16.66,51,37,21,2,49,0.4722222222222222,27.548050761421337,185
2,15.166666666666666,7.054945054945056,3,14,0,1,19.43103448275862,120.06310344827588,5.0,79.0,31.645789473684204,5.441000000000001,0.0,284.0,11,23,11,8,175.62,8.99,22.0,168.76,8.67,22.29,37,51,21,2,49,0.3235294117647059,27.548050761421337,107
1,20.166666666666668,7.041322314049586,1,13,1,0,19.860434782608696,112.12375000000002,4.0,57.0,38.2515,5.597727272727273,0.0,138.0,17,19,11,7,142.3,7.58,15.07,158.35,8.03,19.61,51,8,79,60,7,0.4722222222222222,-5.771949238578657,142
2,14.833333333333334,9.640449438202246,8,18,0,0,19.70827586206897,122.33566666666668,4.0,96.0,36.46476190476191,5.751739130434783,0.0,355.0,14,25,20,6,142.3,7.58,15.07,168.76,8.67,22.29,8,51,79,60,7,0.358974358974359,-5.771949238578657,143
1,20.83333333333333,8.352,5,22,1,1,19.860434782608696,112.12375000000002,4.0,57.0,38.2515,5.597727272727273,0.0,138.0,17,19,11,7,164.12,8.51,20.33,158.35,8.03,19.61,51,8,17,64,49,0.4722222222222222,16.048050761421337,174
