venue_id,venue_name
294,Nondescripts Cricket Club Ground
295,"Nondescripts Cricket Club Ground, Colombo"
296,North Sydney Oval
297,"North Sydney Oval, Sydney"
298,OUTsurance Oval
299,Old Deer Park
300,Old Hararians
301,Old Trafford
302,"Old Trafford, Manchester"
303,P Sara Oval
304,"P Sara Oval, Colombo"
305,Pallekele International Cricket Stadium
306,"Pembroke Cricket Club, Sandymount"
307,"Pembroke Cricket Club, Sandymount, Dublin"
308,Perth Stadium
309,Pierre Werner Cricket Ground
310,Pokhara Rangasala
311,Prairie View Cricket Complex
312,Providence Stadium
313,"Providence Stadium, Guyana"
314,Pukekura Park
315,"Punjab Cricket Association IS Bindra Stadium, Mohali"
316,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
317,"Punjab Cricket Association Stadium, Mohali"
318,Queen's Park
319,"Queen's Park Oval, Port of Spain"
320,"Queen's Park, Chesterfield"
321,Queens Sports Club
322,"Queens Sports Club, Bulawayo"
323,R Premadasa Stadium
324,"R Premadasa Stadium, Colombo"
325,"R.Premadasa Stadium, Khettarama"
326,Radlett Cricket Club
327,"Radlett Cricket Club, Radlett"
328,"Rajiv Gandhi International Stadium, Uppal"
329,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
330,Rangiri Dambulla International Stadium
331,Rawalpindi Cricket Stadium
332,"Reforma Athletic Club, Naucalpan"
333,Riverside Ground
334,"Riverside Ground, Chester-le-Street"
335,Roma Cricket Ground
336,"Royal Brussels Cricket Club Ground, Waterloo"
337,Royal Chiangmai Golf Club
338,Royal Selangor Club
339,"Royal Selangor Club, Kuala Lumpur"
340,"Ruaraka Sports Club Ground, Nairobi"
341,"Sabina Park, Kingston"
342,"Sabina Park, Kingston, Jamaica"
343,Sano International Cricket Ground
344,Sano International Cricket Ground 2
345,Santarem Cricket Ground
346,Sao Fernando Polo and Cricket Club
347,"Sardar Patel Stadium, Motera"
348,Saurashtra Cricket Association Stadium
349,"Saurashtra Cricket Association Stadium, Rajkot"
350,"Sawai Mansingh Stadium, Jaipur"
351,Saxton Oval
352,"Saxton Oval, Nelson"
353,"Scott Page Field, Vinor"
354,Sea Breeze Oval
355,Seddon Park
356,"Seddon Park, Hamilton"
357,Seebarn Cricket Centre
358,"Seebarn Cricket Centre, Lower Austria"
359,"Selangor Turf Club, Kuala Lumpur"
360,Senwes Park
361,"Senwes Park, Potchefstroom"
362,"Shaheed Veer Narayan Singh International Stadium, Raipur"
363,Sharjah Cricket Stadium
364,Sheikh Abu Naser Stadium
365,Sheikh Kamal International Cricket Stadium
366,Sheikh Zayed Stadium
367,Sheikh Zayed Stadium Nursery 1
368,Sheikh Zayed Stadium Nursery 2
369,"Sheikh Zayed Stadium, Abu Dhabi"
370,Shere Bangla National Stadium
371,"Shere Bangla National Stadium, Mirpur"
372,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior"
373,"Sikh Union Club Ground, Nairobi"
374,"Simar Cricket Ground, Rome"
375,"Simonds Stadium, South Geelong"
376,Singapore National Cricket Ground
377,Sinhalese Sports Club Ground
378,"Sinhalese Sports Club Ground, Colombo"
379,"Sir Vivian Richards Stadium, North Sound"
380,"Sir Vivian Richards Stadium, North Sound, Antigua"
381,Skarpnack 1
382,Skarpnack 2
383,Sky Stadium
384,"Sky Stadium, Wellington"
385,"Solvangs Park, Glostrup"
386,Sophia Gardens
387,"Sophia Gardens, Cardiff"
388,Southend Club Cricket Stadium
389,"Southend Club Cricket Stadium, Karachi"
390,"Sportpark Harga, Schiedam"
391,Sportpark Het Schootsveld
392,Sportpark Het Schootsveld 2
393,"Sportpark Het Schootsveld, Deventer"
394,Sportpark Maarschalkerweerd
395,"Sportpark Maarschalkerweerd, Utrecht"
396,Sportpark Thurlede
397,Sportpark Westvliet
398,"Sportpark Westvliet, The Hague"
399,"Sportpark Westvliet, Voorburg"
400,"St Albans Club, Buenos Aires"
401,"St George's College Ground, Buenos Aires"
402,St George's Park
403,"St George's Park, Gqeberha"
404,"St George's Park, Port Elizabeth"
405,St Georges Quilmes
406,St Lawrence Ground
407,"St Lawrence Ground, Canterbury"
408,Stadium Australia
409,"Stanley Park, Blackpool"
410,"Stars Arena Hofstade, Zemst"
411,"Stubberudmyra Cricket Ground, Oslo"
412,Subrata Roy Sahara Stadium
413,Sulabiya Ground
414,SuperSport Park
415,"SuperSport Park, Centurion"
416,"Surrey Village, Maggona"
417,"Svanholm Park, Brondby"
418,Sydney Cricket Ground
419,Sydney Parade
420,Sydney Showground Stadium
421,Sylhet International Cricket Stadium
422,"Sylhet International Cricket Stadium, Academy Ground"
423,Sylhet Stadium
424,"TCA Oval, Blantyre"
425,Tack-Tec Ground
426,Tafawa Balewa Square (TBS) Cricket Oval
427,Tafawa Balewa Square Cricket Oval
428,"Tafawa Balewa Square Cricket Oval, Lagos"
429,Takashinga Sports Club
430,"Takashinga Sports Club, Highfield, Harare"
431,Terdthai Cricket Ground
432,"Terdthai Cricket Ground, Bangkok"
433,Thailand Cricket Ground
434,The Cooper Associates County Ground
435,"The Cooper Associates County Ground, Taunton"
436,The Kent County Cricket Ground
437,The Rose Bowl
438,"The Rose Bowl, Southampton"
439,"The Village, Malahide"
440,"The Village, Malahide, Dublin"
441,The Vineyard
442,The Wanderers Stadium
443,"The Wanderers Stadium, Johannesburg"
444,"Three Ws Oval, Cave Hill, Barbados"
445,Tikkurila Cricket Ground
446,"Titwood, Glasgow"
447,Tolerance Oval
448,"Tolerance Oval, Abu Dhabi"
449,Tony Ireland Stadium
450,Trent Bridge
451,"Trent Bridge, Nottingham"
452,Tribhuvan University International Cricket Ground
453,"Tribhuvan University International Cricket Ground, Kirtipur"
454,Turf City B Cricket Ground
455,UKM-YSD Cricket Oval
456,"UKM-YSD Cricket Oval, Bangi"
457,Udayana Cricket Ground
458,United Cricket Club Ground
459,"United Cricket Club Ground, Windhoek"
460,University Oval
461,"University Oval, Dunedin"
462,University of Dar-es-Salaam Ground
463,University of Doha for Science and Technology
464,University of Lagos Cricket Oval
465,Uxbridge Cricket Club Ground
466,VRA Ground
467,"VRA Ground, Amstelveen"
468,Vanuatu Cricket Ground
469,Vanuatu Cricket Ground (Oval 2)
470,"Vassil Levski National Sports Academy, Sofia"
471,"Velden Cricket Ground, Latschach"
472,"Vidarbha Cricket Association Stadium, Jamtha"
473,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur"
474,W.A.C.A. Ground
475,Wanderers
476,Wanderers Cricket Ground
477,"Wanderers Cricket Ground, Windhoek"
478,Wankhede Stadium
479,"Wankhede Stadium, Mumbai"
480,"Warner Park, Basseterre"
481,"Warner Park, Basseterre, St Kitts"
482,"Warner Park, St Kitts"
483,West End Park International Cricket Stadium
484,"West End Park International Cricket Stadium, Doha"
485,Western Australia Cricket Association Ground
486,Westpac Stadium
487,"White Hill Field, Sandys Parish"
488,Willowmoore Park
489,"Willowmoore Park, Benoni"
490,"Windsor Park, Roseau"
491,"Windsor Park, Roseau, Dominica"
492,"Woodley Cricket Field, Los Angeles"
493,YMCA Cricket Club
494,"YSD-UKM Cricket Oval, Bangi"
495,Yeonhui Cricket Ground
496,"Yeonhui Cricket Ground, Incheon"
497,York Cricket Club
498,Zahur Ahmed Chowdhury Stadium
499,"Zahur Ahmed Chowdhury Stadium, Chattogram"
500,Zayed Cricket Stadium
501,"Zayed Cricket Stadium, Abu Dhabi"
502,Zhejiang University of Technology Cricket Field
